mapping_row_id,wind_name,wind_code,industry_code,function_type,calculation_type,ValueChain_type,candidate_rank,candidate_strength,match_score,name_feature_recall,uqer_indic_id,uqer_name,uqer_frequency,uqer_unit,uqer_stat_type,uqer_region,uqer_source,uqer_api,uqer_begin_date,uqer_end_date,uqer_is_update,conflict_flag,人工审核结论,人工审核备注,审核提示
231,中国:出口金额:纺织制品:当月同比,M7071536,801130,需求,同比,上游,1,中等候选,0.74395,0.564497,2120200275,出口金额(美元):纺织纱线、织物及制品:当月同比,月,%,当期同比,全国,海关总署,getEcoDataIndTextileclothing,1999/1/31,2025/10/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
233,中国:出口金额:服装:当月值,S0270252,801130,需求,当期值,下游,1,中等候选,0.724244,0.630888,2120604284,广州:出口金额(美元):服装及衣着附件:裘皮服装:当月值,月,万美元,当期值,广州市,广州海关,getEcoDataIndTextileclothing,2010/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
236,中国:产量:自卡纸:当月值,S9986880,801140,产量,当期值,中游,1,中等候选,0.59972,0.29373,2130100016,产量:新闻纸:当月值,月,万吨,当期值,全国,国家统计局,getEcoDataIndLightmanufactue,1989/2/28,2023/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
237,中国:产量:双胶纸:当月值,S9986948,801140,产量,当期值,中游,1,中等候选,0.601181,0.296838,2130100016,产量:新闻纸:当月值,月,万吨,当期值,全国,国家统计局,getEcoDataIndLightmanufactue,1989/2/28,2023/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
239,中国:社会消费品零售总额:当月同比(1-2月合并),M0001428,801140,需求,同比,宏观,1,中等候选,0.700325,0.632607,1200900630,上海:社会消费品零售总额:当月同比,月,%,当期同比,上海市,上海市统计局,getEcoDataChinaRegion,2014/2/28,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
246,中国:出口金额:家具及其零件:当月值,S0071022,801140,需求,当期值,下游,1,中等候选,0.693751,0.630912,2087008113,出口金额(美元):其他家具及其零件(9403):当月值,月,美元,当期值,中国,海关总署,getEcoDataIndMachineryequipment,2015/1/31,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
249,中国:社会消费品零售总额:商品零售:当月同比(1-2月合并),M0061659,801200,需求,同比,中游,1,中等候选,0.673829,0.45141,2200000051,社会消费品零售总额:甘肃:当月同比,月,%,当期同比,甘肃省,国家统计局,getEcoDataIndCommercialtrade,1995/1/31,2023/11/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
253,中国:出口金额:一般贸易:当月值,M0009821,801200,需求,当期值,下游,1,中等候选,0.731403,0.683017,1200900666,上海:出口总额:一般贸易:当月值,月,亿元,当期值,上海市,上海市统计局,getEcoDataChinaRegion,2015/2/28,2026/6/30,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
254,中国:社会消费品零售总额:餐饮收入:当月同比(1-2月合并),M0061660,801210,需求,同比,中游,1,中等候选,0.596647,0.448378,1200900632,上海:社会消费品零售总额:住宿餐饮业:当月同比,月,%,当期同比,上海市,上海市统计局,getEcoDataChinaRegion,2014/2/28,2024/12/31,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
258,"中国:出厂价:茅台(53度,500ml)",S5200008,801120,价格,原始值,中游,1,中等候选,0.663893,0.78152,2110734936,经销商出厂价:白酒:21年飞天茅台(53度):500ml,日,元/瓶,当期值,全国,Datayes!,getEcoDataIndFoodbeverage,2021/1/23,2026/8/6,1,否,,,自动召回候选；请重点核对地区、企业/行业总量、品种规格和当期/累计口径
