指数代码,日期,rolling_return,rolling_volatility,rolling_sharpe,rolling_drawdown
CI011800.WI,2024-05-17,-0.02702756404951301,0.08816838795956931,-0.43568905247875866,-0.03169220244796156
CI011800.WI,2024-05-20,-0.01704550864592358,0.08809346670791579,-0.3202774078793938,-0.027449157663873236
CI011800.WI,2024-05-21,-0.015096829814446266,0.0880113037445465,-0.2981568027970136,-0.030088969715896363
CI011800.WI,2024-05-22,-0.021196458537886653,0.08783134777550683,-0.36967319405896265,-0.030710469581718525
CI011800.WI,2024-05-23,-0.02047445391111624,0.08775949527023752,-0.3616465126597223,-0.03875414974518321
CI011800.WI,2024-05-24,-0.022517000843615187,0.08782409973961273,-0.38508245240286065,-0.04243156715626473
CI011800.WI,2024-05-27,-0.01680471338390832,0.0880445381218152,-0.317723249037342,-0.03653090956780547
CI011800.WI,2024-05-28,-0.011670013635990517,0.08774741776400273,-0.2597375327258062,-0.03891029424096393
CI011800.WI,2024-05-29,-0.017618061554929065,0.08748886024225581,-0.329755849973606,-0.03828403728476859
CI011800.WI,2024-05-30,-0.017019372155566814,0.08746449390716156,-0.3229068752055806,-0.041407486858071385
CI011800.WI,2024-05-31,-0.01857046397369333,0.08744776254468664,-0.34104300148511224,-0.04133491791080923
CI011800.WI,2024-06-03,-0.02225060193348527,0.08742874820685415,-0.38410327720539145,-0.04277790199069309
CI011800.WI,2024-06-04,-0.019917888735018763,0.08748627115183161,-0.3565574008059576,-0.03969278896922157
CI011800.WI,2024-06-05,-0.02731518058998994,0.08762299360404976,-0.4423216420736301,-0.044914861607379786
CI011800.WI,2024-06-06,-0.021755469809675465,0.08731849771229783,-0.37890169359046605,-0.04675249763567946
CI011800.WI,2024-06-07,-0.016028135376600194,0.08722799958523873,-0.3124655050143632,-0.04531828152628725
CI011800.WI,2024-06-11,-0.01877362225929813,0.08731404329206442,-0.344070600499861,-0.04926302876108857
CI011800.WI,2024-06-12,-0.02110792305534137,0.08721683242600518,-0.37185776867749265,-0.04709976523292625
CI011800.WI,2024-06-13,-0.022709957062818753,0.08724555059489146,-0.39047902189810535,-0.049402290249858316
CI011800.WI,2024-06-14,-0.02466924054219355,0.0872087146399682,-0.4136904956408698,-0.0489200518728059
CI011800.WI,2024-06-17,-0.024607158592546696,0.08720720190346176,-0.41296937005836537,-0.050937338019906964
CI011800.WI,2024-06-18,-0.022874824121228654,0.08724467022800869,-0.392417486704261,-0.04843203036628019
CI011800.WI,2024-06-19,-0.030987370620724652,0.08699912749743971,-0.4895897832194321,-0.05007126774313109
CI011800.WI,2024-06-20,-0.03402827337008718,0.0870578795139127,-0.5252998898629141,-0.053213745677926916
CI011800.WI,2024-06-21,-0.023977085413258492,0.08645999220376421,-0.4098204799311706,-0.0531850165831238
CI011800.WI,2024-06-24,-0.03242228925079882,0.08674886032240099,-0.5083351157433791,-0.06010322513004818
CI011800.WI,2024-06-25,-0.03184033752130344,0.08674487936273041,-0.5014317165492503,-0.06046672280033316
CI011800.WI,2024-06-26,-0.03159715904843874,0.08675809916527251,-0.4984477626354447,-0.05619989256437863
CI011800.WI,2024-06-27,-0.04071388707357071,0.08692709046192969,-0.6061080539549687,-0.06224083768070776
CI011800.WI,2024-06-28,-0.04020276278617185,0.08694659676103338,-0.5998271520021067,-0.05916533211626451
CI011800.WI,2024-07-01,-0.03606786594696787,0.08710813446494757,-0.5492108795390618,-0.05421282793259008
CI011800.WI,2024-07-02,-0.042327790892924044,0.08702321837527922,-0.6246892218239648,-0.05636489830693303
CI011800.WI,2024-07-03,-0.049539620203492896,0.08683877264917417,-0.7132315531975715,-0.058110470645068135
CI011800.WI,2024-07-04,-0.05277353292966813,0.08689629099336917,-0.7519167478673769,-0.061272723151611586
CI011800.WI,2024-07-05,-0.050244928936111544,0.08689975766484827,-0.7212111296079262,-0.06009884114480224
CI011800.WI,2024-07-08,-0.044887846362426376,0.08639857434684342,-0.6608101109804234,-0.06493017943838175
CI011800.WI,2024-07-09,-0.02886799952647645,0.0860830647843,-0.4703502679505674,-0.05881937038696328
CI011800.WI,2024-07-10,-0.04183937706572327,0.08554739725259108,-0.6309937627510798,-0.062094487194519044
CI011800.WI,2024-07-11,-0.03400833954081883,0.08585185374894702,-0.5336561307654442,-0.055410588667547556
CI011800.WI,2024-07-12,-0.03632609002629694,0.08581263349967075,-0.5619293901596213,-0.055350238913204564
CI011800.WI,2024-07-15,-0.04307954541692416,0.08559903063012687,-0.6456904255466182,-0.05637487886908854
CI011800.WI,2024-07-16,-0.046590710949877656,0.08546865948725807,-0.6898073844741436,-0.05542924392391313
CI011800.WI,2024-07-17,-0.05137080680235695,0.08550765951646376,-0.7482247481267194,-0.058600264400948565
CI011800.WI,2024-07-18,-0.04610804359614795,0.08543563851523278,-0.6841839621428998,-0.05721725697028013
CI011800.WI,2024-07-19,-0.045741563952313546,0.08542668424714556,-0.6797688987529596,-0.059072988597254406
CI011800.WI,2024-07-22,-0.0454639807466225,0.08541796750754017,-0.676442573986082,-0.061503115567727584
CI011800.WI,2024-07-23,-0.05545685760563224,0.08598599240420697,-0.7937750513304711,-0.07094183580221669
CI011800.WI,2024-07-24,-0.06350117154719281,0.08594213026765701,-0.8937220203992986,-0.07472045797908178
CI011800.WI,2024-07-25,-0.06145851353088583,0.08583218083274602,-0.8695987939974713,-0.07795322735468757
CI011800.WI,2024-07-26,-0.06436205027254704,0.08561865660171195,-0.9081595320520935,-0.07421881813540909
CI011800.WI,2024-07-29,-0.06463051465041192,0.08561938144104289,-0.9115020136586892,-0.07478257998277937
CI011800.WI,2024-07-30,-0.06576235928146767,0.08564225119763491,-0.9253698998955572,-0.07706906147923698
CI011800.WI,2024-07-31,-0.05301288171161189,0.08669460662177689,-0.7567906355104828,-0.06487402711672108
CI011800.WI,2024-08-01,-0.05308833393875756,0.08669436519849973,-0.7577118806567239,-0.06485499875522804
CI011800.WI,2024-08-02,-0.0544884339709969,0.08680185428166344,-0.7737091583715112,-0.07164168774477453
CI011800.WI,2024-08-05,-0.0643193656706802,0.08752288177928924,-0.8860063062211032,-0.08226958729629286
CI011800.WI,2024-08-06,-0.060646196722484724,0.08759529910223499,-0.8404844516874342,-0.07921301681706083
CI011800.WI,2024-08-07,-0.07025737255828268,0.08685196344885317,-0.9667988148783068,-0.07846214274834273
CI011800.WI,2024-08-08,-0.06853100062325612,0.08682306291024507,-0.9457887405741882,-0.0791017382128395
CI011800.WI,2024-08-09,-0.0665605153980191,0.08679342041898534,-0.9217999711902269,-0.07949051375549998
CI011800.WI,2024-08-12,-0.0734818525118579,0.08644547768447244,-1.011927006837473,-0.07948127940359906
CI011800.WI,2024-08-13,-0.07426625718218816,0.0864081583400228,-1.0222002793376652,-0.07665976515457429
CI011800.WI,2024-08-14,-0.08009876838930241,0.08642740011912566,-1.095060078031978,-0.07997321859033579
CI011800.WI,2024-08-15,-0.07540085450437728,0.08646450172681483,-1.0356573141993382,-0.0773342590091064
CI011800.WI,2024-08-16,-0.07492432200293231,0.08647447943908533,-1.029571121183475,-0.07583193275429467
CI011800.WI,2024-08-19,-0.07399740432652047,0.0864951556413267,-1.0177292690073854,-0.06942150433884409
CI011800.WI,2024-08-20,-0.07356900459806281,0.08647165271767436,-1.0126820786086888,-0.07196152585556792
CI011800.WI,2024-08-21,-0.07326916593336519,0.08646684044898621,-1.0090018780316317,-0.0716838729912288
CI011800.WI,2024-08-22,-0.07186462519708992,0.08642635883490143,-0.9919970210431808,-0.07338866977121195
CI011800.WI,2024-08-23,-0.07382949736811062,0.08640492927913594,-1.0167843838934034,-0.06625040640289892
CI011800.WI,2024-08-26,-0.0595132826664142,0.08592465801600847,-0.8444795900593086,-0.06186884254557501
CI011800.WI,2024-08-27,-0.06322623688356777,0.08597091510829004,-0.8899804575549062,-0.06488438050920142
CI011800.WI,2024-08-28,-0.06439005786500884,0.08601957952234068,-0.9038766291310592,-0.06884133158265515
CI011800.WI,2024-08-29,-0.05953736028018619,0.08588958058733183,-0.8451575796307378,-0.06866938095117059
CI011800.WI,2024-08-30,-0.05912120027629586,0.08591695946376601,-0.8397130533278157,-0.0637679817870801
CI011800.WI,2024-09-02,-0.057447647578355854,0.08576771736706598,-0.8206084598990533,-0.0699247248884739
CI011800.WI,2024-09-03,-0.050038897328469556,0.08553457191749064,-0.731560650016417,-0.0688533766627426
CI011800.WI,2024-09-04,-0.04695043216379624,0.08574168900783577,-0.691739029681,-0.06246275035272164
CI011800.WI,2024-09-05,-0.03678860767528924,0.08520906858818529,-0.572147788764009,-0.06168513136345366
CI011800.WI,2024-09-06,-0.04316637684436897,0.08528152977183834,-0.6494770303056162,-0.06580691983212006
CI011800.WI,2024-09-09,-0.040626547615472686,0.08511350216565655,-0.6197871288933453,-0.06977382943635468
CI011800.WI,2024-09-10,-0.0453425692692766,0.08491947239475309,-0.6794164403035164,-0.06913022381845357
CI011800.WI,2024-09-11,-0.06010790173008684,0.08357067039595385,-0.8782041948143094,-0.06991097263168111
CI011800.WI,2024-09-12,-0.06259240694799972,0.08348844230906317,-0.9108470645760463,-0.0689672832862468
CI011800.WI,2024-09-13,-0.05993602944431786,0.08342574778816926,-0.8776829524227299,-0.06959173058778845
CI011800.WI,2024-09-18,-0.06010722567203031,0.08342125035437477,-0.8799174665058042,-0.06798669995534778
CI011800.WI,2024-09-19,-0.06493369894735479,0.08303973467598999,-0.9463223969250179,-0.06139058711683243
CI011800.WI,2024-09-20,-0.05968445193124794,0.08295867055900658,-0.8798642451874369,-0.060119252587818806
CI011800.WI,2024-09-23,-0.06026643569264556,0.08295578685188157,-0.8873591712343791,-0.0557532736199694
CI011800.WI,2024-09-24,-0.03707524215217606,0.08352947133740449,-0.5889049659506052,-0.042558829308385726
